year,aer_p5,aer_p17,aer_p83,aer_p95,aer_p50,ghg_p5,ghg_p17,ghg_p83,ghg_p95,ghg_p50,ohf_p5,ohf_p17,ohf_p83,ohf_p95,ohf_p50,ant_p5,ant_p17,ant_p83,ant_p95,ant_p50,nat_p5,nat_p17,nat_p83,nat_p95,nat_p50,tot_p5,tot_p17,tot_p83,tot_p95,tot_p50
1850,-1.6448536269514875,-0.9541652531461864,0.9541652531461864,1.6448536269514875,0.0,-1.6448536269514875,-0.9541652531461864,0.9541652531461864,1.6448536269514875,0.0,-1.6448536269514875,-0.9541652531461864,0.9541652531461864,1.6448536269514875,0.0,-1.6448536269514875,-0.9541652531461864,0.9541652531461864,1.6448536269514875,0.0,-1.6448536269514875,-0.9541652531461864,0.9541652531461864,1.6448536269514875,0.0,-1.6448536269514875,-0.9541652531461864,0.9541652531461864,1.6448536269514875,0.0
1851,0.04425455707291803,0.04545842900643038,0.04878465487547601,0.049988526808988354,0.04712154194095319,0.039828921316029664,0.04103279508166224,0.044359026012841696,0.045562899778474275,0.04269591054725197,0.04490775307175454,0.04611162627935528,0.04943785566871384,0.05064172887631457,0.04777474097403456,0.029132131831261177,0.030336005984281655,0.033662237985709,0.03486611213872948,0.03199912198499533,0.048017762247297924,0.04922154934195078,0.052547540806358484,0.053751327901011337,0.05088454507415463,-0.02709339178903747,0.0017413202567126973,0.08140989833628964,0.11024461038203981,0.04157560929650117
1852,0.09373101977286069,0.09542455511342496,0.10010369157549803,0.1017972269160623,0.0977641233444615,0.021049513483603732,0.022743047035419295,0.02742217855529816,0.029115712107113723,0.025082612795358727,0.09165674951083247,0.09335028183426175,0.09802940996013376,0.09972294228356304,0.09568984589719776,0.041488088812627666,0.04318161573303314,0.04786072893102755,0.04955425585143303,0.045521172332030346,0.06766968376473415,0.06936319009008685,0.0740422463849768,0.07573575271032951,0.07170271823753183,-0.0077243395593313835,0.026476663608150375,0.12097198185233538,0.15517298501981713,0.07372432273024287
1853,0.10567348977775737,0.10744330396056512,0.11233319428384902,0.11410300846665677,0.10988824912220707,-0.04375424209325729,-0.041984477955054444,-0.03709472590190899,-0.03532496176370614,-0.039539601928481716,0.1145385857639667,0.11630838831899837,0.12119824651540512,0.12296804907043679,0.11875331741720174,0.03803403280261364,0.03980379866794692,0.044693555492983705,0.04646332135831699,0.04224867708046531,0.09068592525449048,0.09245571891250393,0.09734555252720156,0.099115346185215,0.09490063571985274,0.0015458306163509405,0.03651081906559739,0.13311698277198047,0.16808197122122692,0.08481390091878893
1854,0.1445937029053539,0.14625808996561318,0.15085669147947556,0.15252107853973484,0.14855739072254437,-0.060731889209876044,-0.05906760748172246,-0.054469296994227534,-0.05280501526607395,-0.056768452237975,0.14796410509569569,0.149628483055551,0.15422705942552284,0.15589143738537814,0.1519277712405369,0.027918986827558,0.02958328959056189,0.0341816581961325,0.03584596095913639,0.031882473893347196,0.07601734748487843,0.07768172262689177,0.08228029121147529,0.08394466635348863,0.07998100691918353,0.004243657205620366,0.03815852408416731,0.1318632649422966,0.16577813182084356,0.08501089451323196
1855,0.16607339911843155,0.16763015183448715,0.1719313661178603,0.1734881188339159,0.16978075897617373,-0.07768185301034691,-0.07612526518005325,-0.07182450646621419,-0.07026791863592052,-0.07397488582313372,0.14199170865816768,0.1435484387580459,0.14784959055424451,0.14940632065412274,0.1456990146561452,0.019306184424237927,0.020862784219332298,0.025163575991257403,0.026720175786351774,0.02301318010529485,0.0717549148737362,0.07331156127810345,0.07761248182856662,0.07916912823293387,0.07546202155333503,0.004160468035138365,0.036985262721486833,0.127678199562979,0.16050299424932746,0.08233173114223291
1856,0.15286658454658664,0.15432725035776684,0.15836298229243084,0.15982364810361105,0.15634511632509884,-0.09399006021783407,-0.09252959390619253,-0.08849441317681794,-0.0870339468651764,-0.09051200354150524,0.1322624817863698,0.13372309207909439,0.13775867061940517,0.13921928091212976,0.13574088134924978,0.002781497434511948,0.004241961537672978,0.008277136165133925,0.009737600268294955,0.006259548851403451,0.043693400081906475,0.04515300547768675,0.049185807548155935,0.05064541294393621,0.04716940651292134,-0.0405829024963964,-0.008737081303081595,0.07925101055724326,0.11109683175055807,0.03525696462708083
1857,0.16608599950512826,0.16745406999621082,0.17123396662088908,0.17260203711197164,0.16934401830854995,-0.08161287521141958,-0.08024499254929651,-0.07646561488468251,-0.07509773222255944,-0.07835530371698951,0.1361870402396903,0.1375550460032855,0.14133476378970045,0.14270276955329564,0.13944490489649297,-0.023144151803592194,-0.021776273859813955,-0.017996909231669633,-0.016629031287891394,-0.019886591545741794,0.016576211999563384,0.017942344145012612,0.021716885237196948,0.023083017382646176,0.01982961469110478,-0.12221788380577436,-0.09130407233158166,-0.005891067365269009,0.02502274410892369,-0.04859756984842534
1858,0.1497612043028198,0.1510430274587975,0.154584627875181,0.1558664510311587,0.15281382766698925,-0.07164232438162799,-0.07036065785456458,-0.06681949019463218,-0.06553782366756877,-0.06859007402459838,0.12697248978969355,0.1282542445946433,0.13179565616104583,0.13307741096599557,0.13002495037784456,-0.008570365201364893,-0.007288701054505964,-0.0037475399709023804,-0.002465875824043451,-0.005518120512704172,0.02982361457134175,0.031103917619589083,0.03464131806958903,0.035921621117836366,0.03287261784458906,-0.1288114242331062,-0.09873269623739134,-0.015626976781902613,0.014451751213812258,-0.057179836509646975
1859,0.11159811253486396,0.1127991247529394,0.11611744939995106,0.1173184616180265,0.11445828707644523,-0.060046745905708576,-0.05884584025739059,-0.055527810056219096,-0.05432690440790111,-0.057186825156804844,0.10789939518645042,0.10910034629569054,0.11241850210274151,0.11361945321198164,0.11075942419921603,0.016729279483513437,0.017930212402916368,0.0212483179523133,0.02244925087171623,0.019589265177614834,0.0623320293207712,0.06353225522985895,0.06684840735232456,0.0680486332614123,0.06519033129109175,-0.09238128433730708,-0.06306959517974065,0.017916842020895274,0.04722853117846171,-0.022576376579422686
